id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews
5731,Mai Lodging - Room Single bed 5,9187,Mai,Kensington-Cedar Cottage,49.24788,-123.06537,Private room,38,103
10080,D1 -  Million Dollar View 2 BR,30899,Rami,Downtown,49.28772,-123.1211,Entire home/apt,150,16
13188,Garden level studio in ideal loc.,51466,Family Guns,Riley Park,49.24577,-123.10516,Entire home/apt,121,218
13357,! Wow! 2bed 2bath 1bed den Harbour View Apartment!,52118,Liliana,Downtown Eastside,49.27955,-123.10546,Entire home/apt,152,57
13490,Vancouver's best kept secret,52467,Iris,Kensington-Cedar Cottage,49.2555,-123.06696,Entire home/apt,144,83
14267,EcoLoft Vancouver,56030,Peter & Alison,Kensington-Cedar Cottage,49.24974,-123.08108,Entire home/apt,140,31
16254,Close to PNE/Hastings Park and East Village,63238,Jason,Hastings-Sunrise,49.27734,-123.04152,Entire home/apt,195,5
16611,"1 block to skytrain station, shops,restaurant,bank",58512,Q,Grandview-Woodland,49.26382,-123.07194,Entire home/apt,1200,3
17158,Vancouver 4br 3ba house 20min to DT,48673,Elaine,Renfrew-Collingwood,49.25195,-123.0355,Entire home/apt,135,5
17765,"Central location, nice little apartment",68672,James,Mount Pleasant,49.26181,-123.10905,Entire home/apt,121,187
18270,private rm in clean central 2BR apt,70437,Ran,Mount Pleasant,49.26564,-123.09524,Private room,56,117
18589,Commercial Drive B&B,71508,Sylvain & Alexis,Grandview-Woodland,49.27427,-123.07063,Private room,85,377
18773,Comfort Suite on Kits Beach + Netflix,72055,Dean,Kitsilano,49.27212,-123.16401,Entire home/apt,170,11
18795,*Best choice in downtown-5 Stars *,70137,Kai,West End,49.28251,-123.12827,Private room,95,114
19527,Art Deco Apartment in Fairview/South Granville,74129,Bevin,Fairview,49.26117,-123.13535,Entire home/apt,168,30
20085,Bright & Cheerful Uptown Garden Suite,75986,Tony And Rachel,Mount Pleasant,49.25732,-123.08545,Entire home/apt,110,72
20566,Downtown Vancouver Perfect Suite,77672,Shona,West End,49.28219,-123.12503,Entire home/apt,232,53
21912,PRIVATE ROOM + BATH + KING BED + SEPARATE ENTRY,83871,Adam,Renfrew-Collingwood,49.23365,-123.05439,Private room,50,313
