name,lat,lon
HCKK0512,49.27702,-122.91733
IMG_0046,49.27817,-122.9114
IMG_0047,49.27812,-122.91081
IMG_0048,49.27802,-122.91026
IMG_0049,49.27802,-122.91013
IMG_0050,49.27564,-122.90968
IMG_0051,49.27551,-122.91369
IMG_0052,49.27584,-122.91425
IMG_0053,49.27648,-122.91597
IMG_0054,49.27655,-122.91631
IMG_0055,49.27844,-122.92063
IMG_0056,49.27891,-122.92047
IMG_0057,49.27997,-122.92024
IMG_0058,49.28066,-122.92302
IMG_0059,49.28117,-122.9282
IMG_0060,49.28117,-122.9282
IMG_0061,49.28044,-122.9304
IMG_0062,49.28022,-122.93101
IMG_0063,49.27803,-122.93358
IMG_0064,49.27771,-122.93343
IMG_0065,49.27652,-122.93153
IMG_0066,49.27641,-122.93131
IMG_0067,49.27611,-122.93068
IMG_0068,49.27467,-122.92781
IMG_0069,49.27383,-122.92612
IMG_0070,49.27381,-122.92609
IMG_0071,49.27384,-122.92631
IMG_0072,49.27128,-122.92335
IMG_0073,49.27082,-122.92288
IMG_0074,49.27059,-122.92263
IMG_0075,49.26996,-122.92169
IMG_0076,49.26959,-122.92094
IMG_0077,49.26864,-122.91887
IMG_0078,49.26791,-122.9173
IMG_0079,49.26737,-122.91612
IMG_0080,49.26642,-122.91408
IMG_0081,49.2654,-122.91078
IMG_0082,49.2654,-122.91078
IMG_0083,49.2654,-122.9101
IMG_0084,49.26606,-122.90718
IMG_0085,49.26673,-122.90543
IMG_0086,49.26763,-122.90162
IMG_0087,49.26556,-122.89915
IMG_0088,49.26437,-122.90002
IMG_0089,49.26274,-122.90324
IMG_0090,49.26097,-122.90689
IMG_0091,49.26026,-122.90839
IMG_0092,49.25944,-122.91006
IMG_0093,49.25845,-122.91152
IMG_0094,49.25748,-122.91218
IMG_0095,49.25732,-122.91223
IMG_0096,49.25631,-122.91235
IMG_0097,49.25523,-122.91242
IMG_0098,49.25421,-122.91249
IMG_0099,49.25298,-122.91271
IMG_0100,49.25268,-122.9127
IMG_0101,49.25267,-122.91269
IMG_0102,49.25267,-122.91269
IMG_0103,49.25261,-122.91271
IMG_0104,49.25272,-122.91459
IMG_0105,49.25305,-122.91689
IMG_0106,49.25335,-122.91756
IMG_0107,49.25311,-122.91833
IMG_0108,49.25334,-122.91841
IMG_0109,49.25167,-122.90772
IMG_0110,49.25135,-122.90422
IMG_0111,49.25044,-122.90117
IMG_0112,49.24873,-122.89734
IMG_0113,49.24859,-122.8969
IMG_0114,49.24856,-122.89747
IMG_0115,49.24858,-122.89746
IMG_0116,49.24882,-122.89683
IMG_0117,49.24914,-122.89563
IMG_0118,49.24928,-122.89429
IMG_0119,49.24924,-122.8932
IMG_0120,49.24923,-122.89313
IMG_0121,49.24933,-122.89256
